Account,date,PnL,Average_trade_size,trades_per_day,Sentiment,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-06-12,-175732.230048,36736.36242424243,33,Greed,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,-167.796055,5089.718248587571,177,Extreme Greed,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,-67.883615,7976.664411764705,68,Extreme Greed,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,-94.93798300000002,23734.5,40,Extreme Greed,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21260.823995,28186.666666666668,12,Extreme Greed,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1498.4775100000002,17248.14814814815,27,Extreme Greed,0.4444444444444444
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132402.679967,16058.536341463414,82,Extreme Greed,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,-390.921553,48561.68565217392,23,Extreme Greed,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-03,9475.503421,2985.797555555556,45,Greed,0.8
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,70613.627658,11410.954021505377,465,Extreme Greed,0.04946236559139785
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40194.628505,9400.588039215687,51,Extreme Greed,0.5490196078431373
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76617.076504,185847.0,10,Greed,0.9
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,9590.895707,27178.041694915253,59,Neutral,0.5254237288135594
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,114889.506777,13233.776894977169,219,Fear,0.4246575342465753
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115149.726025,24958.908545454546,55,Extreme Fear,0.01818181818181818
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-02,98656.64736799999,23593.019856972587,839,Fear,0.30512514898688914
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533706.368278,8371.136099843994,641,Fear,0.8424336973478939
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40160.180002,79640.0,5,Neutral,0.8
